,countries,ioc_code,region,summer_participations,summer_gold,summer_silver,summer_bronze,summer_total,winter_participations,winter_gold,winter_silver,winter_bronze,winter_total,total_participation,total_gold,total_silver,total_bronze,total_total
0,Australia,(AUS),Oceania,27,164,173,210,547,20,6,7,6,19,47,170,180,216,566
1,Fiji,(FIJ),Oceania,15,2,0,1,3,3,0,0,0,0,18,2,0,1,3
2,New Zealand,(NZL),Oceania,24,53,33,51,137,17,2,2,2,6,41,55,35,53,143
3,Samoa,(SAM),Oceania,10,0,1,0,1,0,0,0,0,0,10,0,1,0,1
4,Tonga,(TGA),Oceania,10,0,1,0,1,2,0,0,0,0,12,0,1,0,1
