,countries,winter_participations,winter_gold,winter_silver,winter_bronze,winter_total
0,Bahamas,0,0,0,0,0
1,Barbados,0,0,0,0,0
2,Bermuda,8,0,0,0,0
3,Costa Rica,6,0,0,0,0
4,Cuba,0,0,0,0,0
5,Dominican Republic,0,0,0,0,0
6,Grenada,0,0,0,0,0
7,Guatemala,1,0,0,0,0
8,Haiti,1,0,0,0,0
9,Jamaica,9,0,0,0,0
10,Panama,0,0,0,0,0
11,Puerto Rico,8,0,0,0,0
12,Trinidad and Tobago,4,0,0,0,0
