,countries,winter_participations,winter_gold,winter_silver,winter_bronze,winter_total
0,Australia,20,6,7,6,19
1,Fiji,3,0,0,0,0
2,New Zealand,17,2,2,2,6
3,Samoa,0,0,0,0,0
4,Tonga,2,0,0,0,0
