,countries,summer_participations,summer_gold,summer_silver,summer_bronze,summer_total
0,Australia,27,164,173,210,547
1,Fiji,15,2,0,1,3
2,New Zealand,24,53,33,51,137
3,Samoa,10,0,1,0,1
4,Tonga,10,0,1,0,1
