,countries,total_participation,total_gold,total_silver,total_bronze,total_total
0,Australia,47,170,180,216,566
1,Fiji,18,2,0,1,3
2,New Zealand,41,55,35,53,143
3,Samoa,10,0,1,0,1
4,Tonga,12,0,1,0,1
