,countries,summer_participations,summer_gold,summer_silver,summer_bronze,summer_total
0,Argentina,25,21,26,30,77
1,Brazil,23,37,42,71,150
2,Chile,24,2,7,4,13
3,Colombia,20,5,13,16,34
4,Ecuador,15,3,2,0,5
5,Guyana,18,0,0,1,1
6,Paraguay,13,0,1,0,1
7,Peru,19,1,3,0,4
8,Suriname,13,1,0,1,2
9,Uruguay,22,2,2,6,10
10,Venezuela,19,3,7,9,19
