,countries,total_participation,total_gold,total_silver,total_bronze,total_total
0,Argentina,45,21,26,30,77
1,Brazil,32,37,42,71,150
2,Chile,42,2,7,4,13
3,Colombia,23,5,13,16,34
4,Ecuador,17,3,2,0,5
5,Guyana,18,0,0,1,1
6,Paraguay,14,0,1,0,1
7,Peru,22,1,3,0,4
8,Suriname,13,1,0,1,2
9,Uruguay,23,2,2,6,10
10,Venezuela,23,3,7,9,19
