,countries,ioc_code,region,summer_participations,summer_gold,summer_silver,summer_bronze,summer_total,winter_participations,winter_gold,winter_silver,winter_bronze,winter_total,total_participation,total_gold,total_silver,total_bronze,total_total
0,Canada,(CAN),North America,27,71,109,146,326,24,77,72,76,225,51,148,181,222,551
1,Mexico,(MEX),North America,24,13,24,35,72,10,0,0,0,0,34,13,24,35,72
2,United States,(USA),North America,28,"1,060",831,738,"2,629",24,113,122,95,330,52,"1,173",953,833,"2,959"
