,countries,winter_participations,winter_gold,winter_silver,winter_bronze,winter_total
0,Argentina,20,0,0,0,0
1,Brazil,9,0,0,0,0
2,Chile,18,0,0,0,0
3,Colombia,3,0,0,0,0
4,Ecuador,2,0,0,0,0
5,Guyana,0,0,0,0,0
6,Paraguay,1,0,0,0,0
7,Peru,3,0,0,0,0
8,Suriname,0,0,0,0,0
9,Uruguay,1,0,0,0,0
10,Venezuela,4,0,0,0,0
