,countries,total_participation,total_gold,total_silver,total_bronze,total_total
0,Bahamas,17,8,2,6,16
1,Barbados,13,0,0,1,1
2,Bermuda,27,1,0,1,2
3,Costa Rica,22,1,1,2,4
4,Cuba,21,84,69,82,235
5,Dominican Republic,15,3,5,4,12
6,Grenada,10,1,1,1,3
7,Guatemala,16,0,1,0,1
8,Haiti,17,0,1,1,2
9,Jamaica,27,26,36,25,87
10,Panama,18,1,0,2,3
11,Puerto Rico,27,2,2,6,10
12,Trinidad and Tobago,22,3,5,11,19
